,Departure,Price
0,2022-01-22,"149,00 Dkr"
1,2022-01-23,"164,25 Dkr"
2,2022-01-25,"149,00 Dkr"
3,2022-01-27,"149,00 Dkr"
4,2022-01-29,"149,00 Dkr"
5,2022-01-30,"699,00 Dkr"
6,2022-02-01,"169,00 Dkr"
7,2022-02-03,"169,00 Dkr"
8,2022-02-05,"169,00 Dkr"
9,2022-02-06,"169,00 Dkr"
10,2022-02-08,"169,00 Dkr"
11,2022-02-10,"179,07 Dkr"
12,2022-02-12,"169,00 Dkr"
13,2022-02-13,"169,00 Dkr"
14,2022-02-15,"169,07 Dkr"
15,2022-02-17,"169,00 Dkr"
16,2022-02-19,"169,00 Dkr"
17,2022-02-20,"169,00 Dkr"
18,2022-02-22,"169,00 Dkr"
19,2022-02-24,"169,07 Dkr"
20,2022-02-26,"169,00 Dkr"
21,2022-02-27,"169,07 Dkr"
22,2022-03-01,"446,67 Dkr"
23,2022-03-03,"309,07 Dkr"
24,2022-03-05,"269,07 Dkr"
25,2022-03-06,"664,82 Dkr"
26,2022-03-08,"349,07 Dkr"
27,2022-03-10,"269,07 Dkr"
28,2022-03-12,"179,07 Dkr"
29,2022-03-13,"167,84 Dkr"
30,2022-03-15,"169,00 Dkr"
31,2022-03-17,"179,07 Dkr"
32,2022-03-19,"169,00 Dkr"
33,2022-03-20,"529,07 Dkr"
34,2022-03-22,"179,07 Dkr"
35,2022-03-24,"179,07 Dkr"
36,2022-03-26,"179,07 Dkr"
37,2022-03-28,"269,07 Dkr"
38,2022-03-29,"169,07 Dkr"
39,2022-03-31,"269,07 Dkr"
40,2022-04-01,"224,35 Dkr"
41,2022-04-02,"311,79 Dkr"
42,2022-04-04,"271,79 Dkr"
43,2022-04-05,"326,67 Dkr"
44,2022-04-07,"609,07 Dkr"
45,2022-04-08,"1.059,07 Dkr"
46,2022-04-09,"469,07 Dkr"
47,2022-04-11,"699,07 Dkr"
48,2022-04-12,"409,07 Dkr"
49,2022-04-14,"469,07 Dkr"
50,2022-04-15,"575,51 Dkr"
51,2022-04-16,"506,21 Dkr"
52,2022-04-18,"664,82 Dkr"
53,2022-04-19,"234,58 Dkr"
54,2022-04-21,"246,67 Dkr"
55,2022-04-22,"251,14 Dkr"
56,2022-04-23,"196,67 Dkr"
57,2022-04-25,"386,21 Dkr"
58,2022-04-26,"311,79 Dkr"
59,2022-04-28,"309,07 Dkr"
60,2022-04-29,"349,07 Dkr"
61,2022-04-30,"235,51 Dkr"
62,2022-05-02,"664,82 Dkr"
63,2022-05-03,"386,67 Dkr"
64,2022-05-05,"274,58 Dkr"
65,2022-05-06,"353,18 Dkr"
66,2022-05-07,"439,23 Dkr"
67,2022-05-09,"446,21 Dkr"
68,2022-05-10,"371,79 Dkr"
69,2022-05-12,"409,07 Dkr"
70,2022-05-13,"319,23 Dkr"
71,2022-05-14,"311,79 Dkr"
72,2022-05-16,"664,82 Dkr"
73,2022-05-17,"334,58 Dkr"
74,2022-05-19,"651,37 Dkr"
75,2022-05-20,"446,67 Dkr"
76,2022-05-21,"334,58 Dkr"
