,Departure,Price
0,2021-11-21,"109,07 Dkr"
1,2021-11-22,"109,07 Dkr"
2,2021-11-26,"368,10 Dkr"
3,2021-11-28,"217,59 Dkr"
4,2021-11-29,"109,07 Dkr"
5,2021-12-03,"221,15 Dkr"
6,2021-12-05,"109,00 Dkr"
7,2021-12-06,"184,13 Dkr"
8,2021-12-10,"319,07 Dkr"
9,2021-12-12,"109,07 Dkr"
10,2021-12-13,"199,07 Dkr"
11,2021-12-17,"778,49 Dkr"
12,2021-12-19,"895,93 Dkr"
13,2021-12-20,"949,07 Dkr"
14,2021-12-24,"1.889,07 Dkr"
15,2021-12-31,"1.649,00 Dkr"
16,2022-01-02,"719,00 Dkr"
17,2022-01-03,"409,07 Dkr"
18,2022-01-04,"199,00 Dkr"
19,2022-01-07,"359,07 Dkr"
20,2022-01-09,"149,07 Dkr"
21,2022-01-10,"279,07 Dkr"
22,2022-01-14,"409,00 Dkr"
23,2022-01-16,"179,10 Dkr"
24,2022-01-17,"409,00 Dkr"
25,2022-01-21,"629,07 Dkr"
26,2022-01-23,"239,07 Dkr"
27,2022-01-24,"829,00 Dkr"
28,2022-01-28,"1.089,00 Dkr"
29,2022-01-30,"199,07 Dkr"
30,2022-01-31,"479,00 Dkr"
31,2022-02-04,"479,07 Dkr"
32,2022-02-06,"359,07 Dkr"
33,2022-02-07,"279,07 Dkr"
34,2022-02-11,"549,07 Dkr"
35,2022-02-13,"479,07 Dkr"
36,2022-02-14,"319,07 Dkr"
37,2022-02-18,"549,07 Dkr"
38,2022-02-20,"516,18 Dkr"
39,2022-02-21,"516,18 Dkr"
40,2022-02-25,"479,00 Dkr"
41,2022-02-27,"189,00 Dkr"
42,2022-02-28,"409,07 Dkr"
43,2022-03-04,"479,07 Dkr"
44,2022-03-06,"479,00 Dkr"
45,2022-03-07,"319,00 Dkr"
46,2022-03-11,"593,62 Dkr"
47,2022-03-13,"359,00 Dkr"
48,2022-03-14,"359,07 Dkr"
49,2022-03-18,"719,00 Dkr"
50,2022-03-20,"479,00 Dkr"
