,Departure,Price
0,2022-01-15,"269,00 Dkr"
1,2022-01-16,"39,00 Dkr"
2,2022-01-17,"39,00 Dkr"
3,2022-01-21,"96,75 Dkr"
4,2022-01-22,"39,00 Dkr"
5,2022-01-23,"39,00 Dkr"
6,2022-01-24,"39,00 Dkr"
7,2022-01-28,"81,75 Dkr"
8,2022-01-29,"39,00 Dkr"
9,2022-01-30,"39,00 Dkr"
10,2022-01-31,"39,00 Dkr"
11,2022-02-03,"99,00 Dkr"
12,2022-02-04,"109,07 Dkr"
13,2022-02-05,"99,00 Dkr"
14,2022-02-06,"99,00 Dkr"
15,2022-02-07,"109,07 Dkr"
16,2022-02-10,"99,00 Dkr"
17,2022-02-11,"346,20 Dkr"
18,2022-02-12,"99,07 Dkr"
19,2022-02-13,"169,07 Dkr"
20,2022-02-14,"143,88 Dkr"
21,2022-02-17,"99,00 Dkr"
22,2022-02-18,"99,07 Dkr"
23,2022-02-19,"99,00 Dkr"
24,2022-02-20,"99,00 Dkr"
25,2022-02-21,"99,07 Dkr"
26,2022-02-24,"99,00 Dkr"
27,2022-02-25,"99,00 Dkr"
28,2022-02-26,"99,00 Dkr"
29,2022-02-27,"99,00 Dkr"
30,2022-02-28,"99,07 Dkr"
31,2022-03-03,"109,07 Dkr"
32,2022-03-04,"97,84 Dkr"
33,2022-03-05,"94,12 Dkr"
34,2022-03-06,"109,07 Dkr"
35,2022-03-07,"99,07 Dkr"
36,2022-03-10,"99,00 Dkr"
37,2022-03-11,"99,00 Dkr"
38,2022-03-12,"99,00 Dkr"
39,2022-03-13,"109,07 Dkr"
40,2022-03-14,"109,07 Dkr"
41,2022-03-17,"103,05 Dkr"
42,2022-03-18,"109,07 Dkr"
43,2022-03-19,"97,84 Dkr"
44,2022-03-20,"103,05 Dkr"
45,2022-03-21,"109,07 Dkr"
46,2022-03-24,"97,84 Dkr"
47,2022-03-25,"94,12 Dkr"
48,2022-03-26,"94,12 Dkr"
